windows.com,23.100.122.175
amazon.com,54.239.25.200
ebay.com,66.211.162.12
tudou.com,106.11.186.1
apple.com,17.178.96.59
sogou.com,118.191.216.42
pps.tv,101.227.188.178
yahoo.co.jp,182.22.59.229
56.com,221.5.34.99
xunlei.com,182.118.18.100
paypal.com,64.4.250.33
fc2.com,52.36.136.201
tmall.com,140.205.94.193
wordpress.com,192.0.78.17
yahoo.com,98.138.253.109
live.com,65.55.118.92
wikipedia.org,208.80.153.224
msn.com,13.82.28.61
baidu.com,111.13.101.208
blogspot.com,172.217.11.233
qq.com,125.39.240.113
taobao.com,140.205.94.189
hotmail.com,157.56.198.220
360.cn,36.110.213.49
microsoft.com,104.40.211.35
craigslist.org,208.82.237.129
soku.com,106.11.47.20
alibaba.com,205.204.101.42
weather.com,23.217.105.58
renren.com,103.235.252.211
livedoor.jp,125.6.149.67
blogger.com,172.217.11.233
vkontakte.ru,95.213.4.228
megaupload.com,
answers.com,192.41.64.63
rapidshare.com,10.11.12.13
daum.net,211.231.99.17
7k7k.com,115.182.59.140
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,205.196.120.8
seesaa.net,52.68.84.84
ehow.com,23.227.11.12
bing.com,13.107.21.200
sina.com.cn,202.108.33.60
soso.com,123.126.51.90
ask.com,52.45.17.31
adobe.com,192.147.130.204
twitter.com,104.244.42.65
163.com,123.58.180.8
sohu.com,123.125.116.16
youku.com,106.11.47.19
andysayler.com,162.243.49.20
mozilla.com,63.245.213.17
wmfo.org,23.92.21.128
sdjjdsaf.com,
paipai.com,
softonic.com,46.28.209.62
nifty.com,222.158.213.148
orkut.com.br,
tianya.cn,124.225.65.154
alipay.com,110.75.139.5
imageshack.us,208.94.3.19
zynga.com,54.148.147.56
mywebsearch.com,74.113.233.48
hp.com,15.72.164.74
kugou.com,14.18.236.182
walmart.com,161.170.244.20
ebay.de,66.211.181.235
youdao.com,61.135.218.30
hotfile.com,199.184.144.150
qiyi.com,101.227.188.174
pconline.com.cn,219.136.245.40
jp.msn.com,13.88.15.24
ifeng.com,210.51.19.63
odnoklassniki.ru,5.61.23.11
bbc.co.uk,212.58.244.22
yandex.ru,77.88.55.88
goo.ne.jp,153.254.147.65
myspace.com,63.135.90.70
cnet.com,64.30.228.118
go.com,23.236.60.174
4399.com,118.184.184.70
orkut.com,216.239.36.21
skype.com,23.102.255.237
ameblo.jp,23.73.28.27
mail.ru,217.69.139.200
flickr.com,69.147.88.7
4shared.com,204.155.149.41
amazon.co.jp,54.240.252.0
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,207.171.166.22
aol.com,149.174.149.73
naver.com,202.179.177.21
hao123.com,180.149.131.31
facebook.com,157.240.2.35
ku6.com,123.59.156.84
rakuten.co.jp,133.237.61.176
about.com,151.101.193.121
youtube.com,172.217.11.238
cnn.com,151.101.193.67
partypoker.com,185.37.77.41
